id,category_id,farm_name,location,phone,description,original_program,region_zone,distance_guide,imageUrl,is_real
1,1,양평 산음 힐링의숲,경기도 양평군 퇴계로 275,031-1528-7672,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/farm,nature/all?lock=1","real"
2,1,가평 잣향기 푸른숲,경기도 가평군 평화로 859,031-725-7211,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","자연 속 크로스핏 및 요가","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/farm,nature/all?lock=2","real"
3,2,포천 평강랜드 치유농장,경기도 포천시 힐링로 349,031-950-3615,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","번아웃 극복 요가 및 감귤 수확","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/farm,nature/all?lock=3","real"
4,2,남양주 다산 생태농원,경기도 남양주시 힐링로 575,031-5568-5016,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","번아웃 극복 요가 및 감귤 수확","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/farm,nature/all?lock=4","real"
5,3,여주 은아목장,경기도 여주시 퇴계로 928,031-7247-2435,"[50대 맞춤] 농촌 생활을 미리 경험해보고 흙을 만지며 마음의 평안과 새로운 삶의 방향성을 탐색해 봅니다.","목공예 체험 및 전원생활 실습","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/farm,nature/all?lock=5","real"
6,4,연천 애심목장 치유센터,경기도 연천군 수목원로 72,031-208-6168,"[60대 맞춤] 원예 치료와 가벼운 산책을 통해 정서적 안정감과 삶의 활력을 되찾아 드립니다.","반려식물 키우기 및 미술 치료","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/farm,nature/all?lock=6","real"
7,1,평창 청옥산 잣나무숲,강원도 평창군 별빛로 105,033-819-2519,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","자연 속 크로스핏 및 요가","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=7","real"
8,1,정선 파크로쉬 웰니스,강원도 정선군 산림로 130,033-447-5780,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=8","real"
9,2,홍천 힐리언스 선마을,강원도 홍천군 별빛로 272,033-7788-1602,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","디지털 디톡스 및 숲속 멍때리기","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=9","real"
10,3,춘천 해피초원 치유농장,강원도 춘천시 힐링로 535,033-8012-4389,"[50대 맞춤] 농촌 생활을 미리 경험해보고 흙을 만지며 마음의 평안과 새로운 삶의 방향성을 탐색해 봅니다.","목공예 체험 및 전원생활 실습","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=10","real"
